city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,date,time
philadelphia,pa,us,fireball,8,8 seconds,What did I see&#44 a shooting star or is it something that moves faster then a plane&#33,12/12/2009,39.9522222,-75.1641667,9/19/2009,3:00
peculiar,mo,us,oval,5,5 seconds,Oval shaped object moving at extremely high rate with low light on opposite edges.,12/12/2009,38.7191667,-94.4583333,9/19/2009,5:45
gurnee,il,us,fireball,120,2 minutes,Two spherical bright orange objects flew slowly across the sky&#44 slowed down and kept going in a straight line and then disappeared.,12/12/2009,42.3702778,-87.9019444,9/19/2009,9:00
waterville,me,us,sphere,10,10 seconds,we both could not believer what we saw,12/12/2009,44.5519444,-69.6322222,9/19/2009,12:35
renton,wa,us,triangle,180,3 minutes,Triangular object with three red steady lights flying over Renton.,2/14/2010,47.4830556,-122.2158333,9/19/2009,19:00
lovell,me,us,triangle,300,3-5 min,triangle shapes hovering over Kezar Lake at sunset.,12/12/2009,44.1266667,-70.8922222,9/19/2009,19:05
bethesda,oh,us,oval,300,5 minutes,white oval light with wide light beam  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.0161111,-81.0727778,9/19/2009,19:15
amagansett,ny,us,light,10,10 seconds,7:30 ish&#44 Bright light with a bell shaped cloud over the atlantic off the cost of Amagansett. ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.9736111,-72.1441667,9/19/2009,19:30
joppa,md,us,unknown,120,2 minutes,Bright searchlight hovered at high altitude and then rapidly ascended from view.((NUFORC Note:  Missile launch.  PD)),12/12/2009,39.4336111,-76.3580556,9/19/2009,19:30
toronto (canada),on,ca,egg,6,5 - 6 seconds,Egg shaped UFO sighted over Toronto and Barrie Ontario on Saturday&#44 September 19&#44 2009 at 1943 hours,12/12/2009,43.666667,-79.416667,9/19/2009,19:43
hanover,pa,us,light,60,< 1 minute,Bright white light in cloudless sky approximately 20&#44000 ft.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,39.8005556,-76.9833333,9/19/2009,19:45
lisbon,me,us,circle,10,10 seconds,Bright blue beam hovering&#44 slowly descending to the ground. No sound at all&#44 6 witnesses,12/12/2009,44.0313889,-70.105,9/19/2009,19:45
