City,Lat,Lng,Date,Temperature,Humidity,Cloudiness,Wind Speed,Weather Description
san marcos,29.8830556,-97.9411111,1949-10-10,,,,,
edna,28.9783333,-96.6458333,1956-10-10,,,,,
kaneohe,21.4180556,-157.8036111,1960-10-10,,,,,
bristol,36.595,-82.1888889,1961-10-10,,,,,
norwalk,41.1175,-73.4083333,1965-10-10,,,,,
pell city,33.5861111,-86.2861111,1966-10-10,,,,,
live oak,30.2947222,-82.9841667,1966-10-10,,,,,
hawthorne,33.9163889,-118.3516667,1968-10-10,,,,,
brevard,35.2333333,-82.7344444,1968-10-10,,,,,
bellmore,40.6686111,-73.5275,1970-10-10,,,,,
manchester,37.1536111,-83.7619444,1970-10-10,,,,,
lexington,35.8238889,-80.2536111,1971-10-10,,,,,
harlan county,36.8430556,-83.3219444,1972-10-10,,,,,
west bloomfield,42.5377778,-83.2330556,1972-10-10,,,,,
niantic,41.3252778,-72.1936111,1973-10-10,,,,,
hudson,42.3916667,-71.5666667,1974-10-10,,,,,
hudson,38.1055556,-98.6597222,1974-10-10,,,,,
north charleston,32.8544444,-79.975,1975-10-10,,,,,
washougal,45.5827778,-122.3522222,1976-10-10,,,,,
san antonio,29.4238889,-98.4933333,1977-10-10,,,,,
louisville,38.2541667,-85.7594444,1977-10-10,,,,,
elmont,40.7008333,-73.7133333,1978-10-10,,,,,
poughkeepsie,41.7002778,-73.9213889,1979-10-10,,,,,
san diego,32.7152778,-117.1563889,1979-10-10,,,,,
security,38.7583333,-104.7425,1979-10-10,,,,,
houston,29.7630556,-95.3630556,1980-10-10,,,,,
dallas,32.7833333,-96.8,1980-10-10,,,,,
manchester,42.9955556,-71.4552778,1980-10-10,,,,,
houston,29.7630556,-95.3630556,1984-10-10,,,,,
traverse city,44.7630556,-85.6205556,1984-10-10,,,,,
white plains,41.0338889,-73.7633333,1984-10-10,,,,,
milwaukee,43.0388889,-87.9063889,1988-10-10,,,,,
new gloucester,43.9627778,-70.2830556,1988-10-10,,,,,
boulder,40.015,-105.27,1988-10-10,,,,,
seattle (ballard area),47.6063889,-122.3308333,1988-10-10,,,,,
calabasas,34.1577778,-118.6375,1989-10-10,,,,,
centralia,46.7163889,-122.9530556,1989-10-10,,,,,
ashburn,31.7058333,-83.6533333,1990-10-10,,,,,
frisco,35.235,-75.6288889,1991-10-10,,,,,
harrisburg,40.2736111,-76.8847222,1991-10-10,,,,,
panama city,30.1586111,-85.6602778,1992-10-10,,,,,
stafford,29.6158333,-95.5575,1992-10-10,,,,,
seymour,35.8905556,-83.7247222,1992-10-10,,,,,
weatherford,32.7591667,-97.7969444,1992-10-10,,,,,
peoria,40.6936111,-89.5888889,1993-10-10,,,,,
carthage,36.2522222,-85.9516667,1993-10-10,,,,,
burnt hills,42.9097222,-73.8955556,1994-10-10,,,,,
pinebergen,34.1027778,-91.9922222,1994-10-10,,,,,
toronto (greater toronto area) (canada),43.666667,-79.416667,1994-10-10,,,,,
higginsville,39.0725,-93.7169444,1996-10-10,,,,,
charleston,32.7763889,-79.9311111,1996-10-10,,,,,
monroe county,39.4402778,-84.3622222,1996-10-10,,,,,
mesa,33.4222222,-111.8219444,1997-10-10,,,,,
bonaire,32.5436111,-83.5961111,1997-10-10,,,,,
austin,43.6666667,-92.9744444,1997-10-10,,,,,
hollywood,34.0983333,-118.3258333,1998-10-10,,,,,
phoenix (north part),33.4483333,-112.0733333,1998-10-10,,,,,
elgin,42.0372222,-88.2811111,1998-10-10,,,,,
las vegas,36.175,-115.1363889,1998-10-10,,,,,
las vegas,36.175,-115.1363889,1998-10-10,,,,,
spokane (about 30 miles sw of&#44i-90&#44 maybe mm 254),47.6588889,-117.425,1998-10-10,,,,,
mooresville,35.5847222,-80.8102778,1998-10-10,,,,,
st. john&#39s (canada),47.55,-52.666667,1998-10-10,,,,,
delano,35.265,-84.5533333,1998-10-10,,,,,
martinez,38.0194444,-122.1330556,1999-10-10,,,,,
kansas city,39.1141667,-94.6272222,1999-10-10,,,,,
dallas,32.7833333,-96.8,1999-10-10,,,,,
san diego,32.7152778,-117.1563889,1999-10-10,,,,,
kennewick,46.2113889,-119.1361111,1999-10-10,,,,,
hayward,37.6688889,-122.0797222,1999-10-10,,,,,
humphrey,41.6916667,-97.4841667,1999-10-10,,,,,
elgin,45.565,-117.9163889,1999-10-10,,,,,
lewiston,44.8838889,-84.3055556,1999-10-10,,,,,
perryville,37.7241667,-89.8611111,2000-10-10,,,,,
boynton beach,26.525,-80.0666667,2000-10-10,,,,,
victoria (canada),46.216667,-63.483333,2000-10-10,,,,,
brinktown,38.1266667,-92.0844444,2000-10-10,,,,,
florence,38.9988889,-84.6266667,2000-10-10,,,,,
seattle (west),47.6063889,-122.3308333,2000-10-10,,,,,
port orchard,47.5405556,-122.635,2000-10-10,,,,,
rockwell city,42.3952778,-94.6336111,2001-10-10,,,,,
vancouver (canada),49.25,-123.133333,2001-10-10,,,,,
hayward,37.6688889,-122.0797222,2001-10-10,,,,,
ottumwa,41.0041667,-92.3736111,2001-10-10,,,,,
fresno,36.7477778,-119.7713889,2001-10-10,,,,,
phoenix,33.4483333,-112.0733333,2001-10-10,,,,,
virginia beach,36.8527778,-75.9783333,2001-10-10,,,,,
hayward,46.0130556,-91.4844444,2002-10-10,,,,,
philomath,44.5402778,-123.3663889,2002-10-10,,,,,
seattle,47.6063889,-122.3308333,2002-10-10,,,,,
victoria (canada),46.216667,-63.483333,2002-10-10,,,,,
cincinnati,39.1619444,-84.4569444,2002-10-10,,,,,
portland,45.5236111,-122.675,2002-10-10,,,,,
alhambra,34.0952778,-118.1261111,2003-10-10,,,,,
indianapolis,39.7683333,-86.1580556,2003-10-10,,,,,
centreville,38.8402778,-77.4291667,2003-10-10,,,,,
grand view,42.9897222,-116.0925,2003-10-10,,,,,
albuquerque,35.0844444,-106.6505556,2003-10-10,,,,,
gleason,45.3088889,-89.4963889,2003-10-10,,,,,
mahwah,41.0886111,-74.1441667,2004-10-10,,,,,
